Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,178.11000061035156,181.7899932861328,174.5,177.94000244140625,177.94000244140625,107800
2022-11-09,172.6300048828125,172.6300048828125,164.24000549316406,164.7899932861328,164.7899932861328,128600
2022-11-10,168.8000030517578,172.47000122070312,166.8000030517578,170.8800048828125,170.8800048828125,60700
2022-11-11,175.30999755859375,179.36000061035156,173.9199981689453,176.9600067138672,176.9600067138672,101500
2022-11-14,176.5,183.5,172.27999877929688,172.77999877929688,172.77999877929688,84000
2022-11-15,174.4499969482422,179.94000244140625,171.92999267578125,178.47000122070312,178.47000122070312,76400
2022-11-16,176.22999572753906,178.5500030517578,173.3000030517578,173.77999877929688,173.77999877929688,88000
2022-11-17,168.6199951171875,171.50999450683594,166.1999969482422,170.61000061035156,170.61000061035156,109100
2022-11-18,166.8300018310547,170.4499969482422,164.47999572753906,170.11000061035156,170.11000061035156,111900
2022-11-21,165.38999938964844,165.38999938964844,149.69000244140625,156.55999755859375,156.55999755859375,230700
2022-11-22,159.3300018310547,165.2100067138672,159.3300018310547,163.2100067138672,163.2100067138672,90700
2022-11-23,157.88999938964844,158.5399932861328,153.41000366210938,156.8699951171875,156.8699951171875,75900
2022-11-25,156.8800048828125,159.2899932861328,154.3699951171875,154.3699951171875,154.3699951171875,48100
2022-11-28,148.4199981689453,151.39999389648438,146.9600067138672,147.39999389648438,147.39999389648438,98000
2022-11-29,151.25999450683594,154.0,149.25,150.97999572753906,150.97999572753906,96200
2022-11-30,154.66000366210938,158.3300018310547,150.63999938964844,158.3300018310547,158.3300018310547,157100
2022-12-01,159.27999877929688,161.77999877929688,155.30999755859375,155.4600067138672,155.4600067138672,112500
2022-12-02,152.3800048828125,157.3000030517578,151.32000732421875,155.72999572753906,155.72999572753906,71300
2022-12-05,156.8699951171875,157.39999389648438,143.66000366210938,144.72000122070312,144.72000122070312,123200
2022-12-06,144.27999877929688,146.0,141.1199951171875,143.0800018310547,143.0800018310547,101700
2022-12-07,143.17999267578125,144.5,137.6699981689453,138.75999450683594,138.75999450683594,124400
2022-12-08,144.75999450683594,144.75999450683594,134.66000366210938,135.82000732421875,135.82000732421875,96400
2022-12-09,134.5500030517578,138.3300018310547,132.0,132.0500030517578,132.0500030517578,124200
