Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03,186.96783447265625,201.77999877929688,201.89999389648438,197.32000732421875,198.72999572753906,145200
2023-01-04,186.6713409423828,201.4600067138672,204.24000549316406,200.75,202.85000610351562,93700
2023-01-05,185.33705139160156,200.02000427246094,201.6300048828125,198.3800048828125,200.63999938964844,94500
2023-01-06,186.74545288085938,201.5399932861328,202.36000061035156,199.5500030517578,201.9600067138672,113600
2023-01-09,183.7525634765625,198.30999755859375,203.0,198.30999755859375,201.07000732421875,87100
2023-01-10,183.7525634765625,198.30999755859375,199.72999572753906,198.08999633789062,198.7899932861328,87700
2023-01-11,182.58506774902344,197.0500030517578,199.42999267578125,196.88999938964844,197.35000610351562,147400
2023-01-12,181.48239135742188,195.86000061035156,198.8699951171875,195.0,197.1300048828125,122600
2023-01-13,183.8915252685547,198.4600067138672,199.27999877929688,195.1300048828125,195.8000030517578,68800
2023-01-17,182.8259735107422,197.30999755859375,200.41000366210938,197.10000610351562,198.05999755859375,96500
2023-01-18,178.71194458007812,192.8699951171875,197.00999450683594,190.27999877929688,197.00999450683594,162900
2023-01-19,177.90576171875,192.0,194.36000061035156,190.64999389648438,193.1999969482422,221800
2023-01-20,178.4524688720703,192.58999633789062,194.24000549316406,190.92999267578125,193.22999572753906,164200
2023-01-23,176.79385375976562,190.8000030517578,193.99000549316406,190.1199951171875,191.8000030517578,154700
2023-01-24,177.52584838867188,191.58999633789062,194.82000732421875,189.1199951171875,191.10000610351562,129500
2023-01-25,181.68629455566406,196.0800018310547,196.41000366210938,191.10000610351562,191.19000244140625,155300
2023-01-26,179.74041748046875,193.97999572753906,195.9199981689453,193.25,195.75,77800
2023-01-27,177.2942352294922,191.33999633789062,193.9199981689453,189.80999755859375,193.61000061035156,91300
2023-01-30,176.66412353515625,190.66000366210938,193.9199981689453,190.1699981689453,191.33999633789062,149700
2023-01-31,177.8223876953125,191.91000366210938,193.2100067138672,187.66000366210938,190.66000366210938,541200
2023-02-01,179.15667724609375,193.35000610351562,195.22000122070312,190.0,191.72999572753906,148100
2023-02-02,172.55003356933594,186.22000122070312,191.3000030517578,172.5500030517578,190.97000122070312,448400
2023-02-03,172.6056671142578,186.27999877929688,188.6699981689453,184.88999938964844,186.22000122070312,157400
2023-02-06,172.75392150878906,186.44000244140625,186.75999450683594,184.58999633789062,185.17999267578125,190100
2023-02-07,171.1416473388672,184.6999969482422,185.5399932861328,181.41000366210938,184.22999572753906,164900
2023-02-08,172.9762725830078,186.67999267578125,187.0399932861328,184.19000244140625,184.58999633789062,131100
2023-02-09,173.41177368164062,187.14999389648438,188.8000030517578,185.8699951171875,187.5399932861328,117400
2023-02-10,175.8209228515625,189.75,191.02000427246094,186.77999877929688,186.77999877929688,110900
2023-02-13,179.07325744628906,193.25999450683594,193.63999938964844,190.25,190.25,146300
2023-02-14,178.86940002441406,193.0399932861328,193.75999450683594,192.27000427246094,192.9499969482422,137000
2023-02-15,179.19375610351562,193.38999938964844,194.1699981689453,192.7100067138672,192.9600067138672,134500
2023-02-16,179.9072265625,194.16000366210938,196.82000732421875,192.77000427246094,192.86000061035156,130700
2023-02-17,181.98275756835938,196.39999389648438,197.14999389648438,194.49000549316406,195.16000366210938,104100
2023-02-21,180.06472778320312,194.3300018310547,195.8300018310547,192.5,194.86000061035156,148000
2023-02-22,181.9271697998047,196.33999633789062,196.9600067138672,194.33999633789062,195.3300018310547,147200
2023-02-23,179.71263122558594,193.9499969482422,198.0,193.00999450683594,195.85000610351562,118100
2023-02-24,178.29493713378906,192.4199981689453,194.9600067138672,192.17999267578125,192.32000732421875,100300
2023-02-27,179.39756774902344,193.61000061035156,194.72000122070312,192.57000732421875,192.5800018310547,127000
2023-02-28,177.8872528076172,191.97999572753906,195.3300018310547,191.80999755859375,192.6999969482422,204500
2023-03-01,174.4958953857422,188.32000732421875,191.4600067138672,187.1999969482422,191.1199951171875,136100
2023-03-02,175.74681091308594,189.6699981689453,190.44000244140625,187.85000610351562,187.85000610351562,92100
2023-03-03,176.12669372558594,190.0800018310547,190.97000122070312,186.9499969482422,189.10000610351562,75800
2023-03-06,176.51588439941406,190.5,190.5500030517578,188.25,190.17999267578125,132100
2023-03-07,176.23788452148438,190.1999969482422,190.64999389648438,188.77999877929688,190.5,88600
2023-03-08,175.97731018066406,189.07000732421875,192.27000427246094,187.57000732421875,189.24000549316406,83000
2023-03-09,175.70736694335938,188.77999877929688,190.92999267578125,187.82000732421875,189.0500030517578,117600
2023-03-10,173.66900634765625,186.58999633789062,189.6999969482422,186.1199951171875,188.32000732421875,116900
2023-03-13,177.28964233398438,190.47999572753906,190.8699951171875,186.0,186.1199951171875,141100
2023-03-14,183.95382690429688,197.63999938964844,197.8699951171875,192.0,192.94000244140625,168400
