Date,MMM,AXP,AMGN,AMZN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,GS,HD,HON,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,NVDA,PG,CRM,SHW,TRV,UNH,VZ,V,WMT
2016-10-31,103.86084747314452,59.27900314331055,111.2663116455078,39.49100112915039,26.153396606445312,131.04664611816406,69.05187225341797,74.65027618408203,23.923519134521484,32.885276794433594,87.00811767578125,150.0623779296875,100.64248657226562,89.10742950439453,102.21236419677734,93.28768920898438,55.55592346191406,92.36682891845705,43.72403717041016,54.04750442504883,45.58016204833984,1.7503210306167605,69.89604949951172,74.74253845214844,75.83361053466797,89.82691955566406,125.0193862915039,31.886524200439453,78.04649353027344,20.06593132019043
2016-11-01,103.20111846923828,59.12726974487305,110.95099639892578,39.27050018310547,25.681190490722656,131.02825927734375,68.04246520996094,75.88316345214844,23.767562866210938,32.66810607910156,86.72651672363281,149.9108123779297,98.89379119873048,88.67684173583984,101.61380767822266,92.76490020751952,55.32331466674805,92.10426330566406,44.15591049194336,53.93927001953125,45.07149887084961,1.698421835899353,69.93633270263672,75.03092193603516,74.52360534667969,88.216064453125,123.33860778808594,31.594839096069336,77.20466613769531,19.85960960388184
2016-11-02,104.13101959228516,58.41328811645508,109.32725524902344,38.27799987792969,25.7042236328125,129.50094604492188,67.10757446289062,75.10636138916016,23.6973819732666,32.61381530761719,86.27592468261719,148.664794921875,99.22372436523438,88.11624908447266,101.05514526367188,92.37885284423828,55.09067916870117,92.2191390991211,43.81338882446289,53.60552215576172,45.16232299804688,1.6912883520126345,69.84776306152344,74.58341979980469,75.09652709960938,87.70124816894531,122.94058990478516,31.117530822753903,76.22090911865234,19.90259552001953
2016-11-03,104.8221435546875,58.30620574951172,106.58423614501952,38.35150146484375,25.42870330810547,128.82928466796875,67.23993682861328,75.10636138916016,23.642797470092773,32.59831237792969,87.64643096923828,148.35328674316406,99.13301849365234,88.0268783569336,101.33447265625,92.51558685302734,54.85002517700195,91.66939544677734,43.50811004638672,53.40708923339844,45.17142105102539,1.6716104745864868,69.73504638671875,73.72820281982422,74.7992172241211,87.78426361083984,121.92327880859376,31.07113075256348,76.28712463378906,19.95417594909668
2016-11-04,104.60223388671876,58.46684646606445,106.72611236572266,37.75249862670898,25.19949150085449,128.38766479492188,68.10041046142578,74.67163848876953,23.541427612304688,32.3346061706543,86.7828369140625,148.10914611816406,99.73514556884766,87.94563293457031,101.37439727783205,92.57991790771484,54.35273361206055,91.1114501953125,43.79850387573242,52.956092834472656,45.38032913208008,1.662017583847046,68.51102447509766,73.95692443847656,75.11510467529297,86.91240692138672,121.8171157836914,31.210346221923828,76.01280212402344,19.819486618041992
2016-11-07,106.65055847167967,59.79663848876953,109.72925567626952,39.24649810791016,25.562992095947266,131.5987091064453,69.29180908203125,76.1468276977539,24.126266479492188,32.93180465698242,88.64146423339844,152.79014587402344,102.0777587890625,90.38292694091795,103.56242370605467,93.82655334472656,56.0532341003418,92.57196807861328,44.714385986328125,54.49850082397461,46.24324417114258,1.7530264854431152,69.70280456542969,75.87620544433594,76.79678344726562,87.48536682128906,125.5500946044922,31.462255477905277,78.04649353027344,19.99715614318848
2016-11-08,107.46112060546876,59.85912704467773,109.13018798828124,39.38750076293945,25.713483810424805,131.8397674560547,70.06124877929688,76.46040344238281,24.17304801940918,33.257564544677734,88.59452819824219,153.16058349609375,102.49020385742188,89.87108612060547,104.13284301757812,94.14021301269533,56.17356491088867,93.63044738769533,45.056915283203125,54.54361343383789,46.39765930175781,1.7503210306167605,70.42752838134766,76.12481689453125,78.10372924804688,89.68577575683594,126.40813446044922,31.58820915222168,78.39649200439453,20.00002098083496
2016-11-09,107.05899047851562,61.34959030151367,115.412353515625,38.59400177001953,25.671802520751957,134.5192108154297,75.45567321777344,76.70983123779297,24.45377349853516,32.78445816040039,88.83859252929688,162.177490234375,103.95022583007812,91.28473663330078,103.89124298095705,96.76214599609376,58.75644302368164,94.34432220458984,47.78966522216797,54.27300643920898,46.43400573730469,1.7208045721054075,69.19548034667969,75.4784164428711,79.82257843017578,88.79731750488281,125.5235595703125,31.72742080688477,78.73700714111328,20.37544059753418
2016-11-10,109.50313568115234,62.572296142578125,119.47176361083984,37.11899948120117,24.95638656616211,136.92979431152344,77.31724548339844,76.81675720214844,24.17304801940918,31.75290870666504,89.13897705078125,169.1148223876953,106.43309020996094,91.95905303955078,107.52183532714844,96.14288330078124,61.483699798583984,93.95867156982422,48.37046432495117,52.94707107543945,45.77090835571289,1.6669373512268066,66.80388641357422,73.22102355957031,82.0741195678711,91.02262115478516,129.26539611816406,30.951805114746094,77.4411392211914,20.45854759216309
2016-11-11,110.00579833984376,62.920372009277344,117.4775390625,36.95050048828125,25.10456275939941,137.6992950439453,76.95320892333984,75.9971694946289,24.45377349853516,31.822717666625977,91.6922378540039,171.69949340820312,107.10948181152344,92.00778198242188,108.22648620605467,95.28227996826172,61.51579666137695,93.72073364257812,47.618408203125,53.23571014404297,46.11606979370117,2.1637964248657227,67.30315399169922,74.17569732666016,81.06758117675781,91.5706558227539,129.5219268798828,30.951805114746094,77.45059204101562,20.41269302368164
2016-11-14,108.64234161376952,64.6339340209961,116.19197082519533,35.95349884033203,24.474802017211918,139.06222534179688,77.9129638671875,75.9615478515625,24.46156883239746,31.93130111694336,91.91751098632812,176.11109924316406,105.31127166748048,91.83717346191406,106.1729507446289,93.77828979492188,63.77780532836914,96.7074203491211,47.30565643310547,52.423919677734375,45.607418060302734,2.057290554046631,66.83609771728516,72.35586547851562,81.56929779052734,93.1483154296875,134.70562744140625,30.61371612548828,74.13992309570312,20.20063018798828
