# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"ATMU","Atmus Filtration Technologies Inc.","US Stocks:Industrials","29.61","75.28","75.94","79.79","75.94","75.94","35.71","16.63","23.79","33.06","33.06"
"AUB","Atlantic Union Bankshares, Corp.","US Stocks:Financials","-13.50","26.32","41.18","47.88","8.89","3.61","26.67","14.24","21.19","32.08","30.67"
"AVA","Avista Corporation","US Stocks:Utilities","6.43","13.16","3.02","5.36","1.78","1.72","19.41","10.08","15.94","18.86","19.31"
"AVNS","Avanos Medical, Inc.","US Stocks:Healthcare","1254.11","343.88","94.09","99.43","-7.34","-11.29","240.16","5.32","75.40","55.80","48.35"
"AWI","Armstrong World Industries, Inc.","US Stocks:Industrials","-27.92","-30.05","22.45","23.55","33.58","12.67","27.85","16.63","20.04","27.98","28.88"
"AWR","American States Water Company","US Stocks:Utilities","38.89","7.61","1.22","3.66","-2.80","1.15","30.00","18.99","9.08","14.03","18.96"
"AX","Axos Financial, Inc.","US Stocks:Financials","13.91","40.33","51.02","57.64","36.08","16.48","32.06","17.52","29.98","41.49","40.57"
"AZTA","Azenta, Inc.","US Stocks:Healthcare","-87.67","-47.36","-14.40","-9.32","-18.62","-25.20","55.49","28.06","50.16","47.97","46.42"
"AZZ","AZZ, Inc.","US Stocks:Industrials","59.58","96.50","59.99","67.33","53.18","22.39","40.64","16.49","26.83","33.47","30.33"
"BANC","Banc Of California, Inc.","US Stocks:Financials","-29.03","15.75","42.94","46.74","18.43","3.51","22.35","11.92","20.16","27.34","27.32"
"BANF","Bancfirst Corp","US Stocks:Financials","15.54","-0.29","-4.54","-1.74","12.51","12.45","23.98","10.51","18.05","24.81","25.82"
"BANR","Banner Corporation","US Stocks:Financials","44.77","16.36","10.97","13.04","14.20","7.35","29.17","10.31","17.19","28.15","28.57"
"BBT","Beacon Financial Corp.","US Stocks:Financials","59.63","75.74","30.57","33.75","16.78","10.86","23.92","13.22","15.47","24.70","27.31"
"BCC","Boise Cascade","US Stocks:Industrials","-7.86","18.36","-16.25","-12.59","11.12","10.12","39.19","19.95","22.87","38.12","38.56"
"BCPC","Balchem Corporation","US Stocks:Materials","12.93","27.40","11.73","16.10","10.98","8.23","17.70","9.49","19.59","25.76","24.48"
"BFAM","Bright Horizons Family Solutions Inc.","US Stocks:Consumer Discretionary","-36.52","-31.59","-32.38","-32.38","2.87","-13.06","24.70","15.81","25.70","30.69","36.89"
"BFH","Bread Financial Holdings, Inc.","US Stocks:Financials","148.97","68.37","79.96","79.11","47.85","2.11","45.09","22.94","27.64","39.21","42.06"
"BFS","Saul Centers, Inc.","US Stocks:Real Estate","60.12","31.51","10.67","14.52","4.79","2.56","15.42","7.27","16.50","17.60","21.87"
"BGC","BGC Group, Inc.","US Stocks:Financials","141.18","44.87","24.88","26.33","35.35","15.85","28.06","9.46","21.84","22.97","31.51"
"BHE","Benchmark Electronics, Inc.","US Stocks:Technology","353.17","197.27","93.02","82.87","52.50","21.95","34.89","10.70","35.24","40.10","37.49"
"BJRI","BJ's Restaurants, Inc.","US Stocks:Consumer Discretionary","-32.94","41.04","11.70","11.87","8.36","-9.14","35.71","16.63","46.60","40.96","43.73"
"BKE","The Buckle, Inc.","US Stocks:Consumer Discretionary","82.37","14.59","72.61","76.01","28.66","17.03","28.94","11.46","31.53","35.55","35.75"
"BKU","BankUnited, Inc.","US Stocks:Financials","-4.84","43.40","44.21","44.68","33.61","4.83","23.91","13.17","12.86","42.50","40.70"
"BL","BlackLine Systems, Inc.","US Stocks:Technology","-86.93","-67.38","-33.49","-32.91","-19.63","-23.35","51.74","35.24","38.24","35.57","34.50"
"BLFS","BioLife Solutions, Inc.","US Stocks:Healthcare","-42.34","-49.18","-18.31","-16.27","1.09","-9.50","42.28","24.27","35.69","49.20","59.70"
"BMI","Badger Meter, Inc.","US Stocks:Technology","-57.47","-58.19","-44.91","-44.80","-3.57","5.06","91.85","82.56","35.42","31.46","29.87"
"BNL","Broadstone Net Lease, Inc.","US Stocks:Real Estate","61.95","20.07","33.45","34.46","15.85","7.05","18.30","5.96","18.02","21.03","24.00"
"BOH","Bank of Hawaii","US Stocks:Financials","22.98","51.68","21.23","23.04","21.75","1.65","20.89","10.88","17.73","37.82","34.40"
"BOOT","Boot Barn Holdings, Inc.","US Stocks:Consumer Discretionary","-12.28","-31.91","60.33","64.68","30.82","19.35","52.14","21.11","61.86","53.03","49.59"
"BOX","Box, Inc.","US Stocks:Technology","-24.67","-43.09","-20.01","-20.84","-2.65","2.40","43.10","24.29","30.29","26.90","30.11"
"BRC","Brady Corporation","US Stocks:Industrials","-13.15","8.39","19.36","20.50","17.96","9.95","28.91","16.69","20.71","19.90","20.33"
"BTSG","BrightSpring Health Services, Inc.","US Stocks:Healthcare","119.68","102.58","178.16","180.67","178.16","178.16","31.62","14.79","40.98","49.91","49.91"
"BTU","Peabody Energy, Inc.","US Stocks:Energy","-62.65","-5.43","120.83","116.83","5.07","47.83","50.48","36.43","57.70","49.48","69.66"
"BXMT","Blackstone Mortgage Trust, Inc.","US Stocks:Financials","6.09","19.06","10.61","17.93","14.33","-0.21","27.28","17.29","10.36","21.10","24.12"
"CABO","Cable One","US Stocks:Communication Services","133.49","-70.03","-66.76","-63.28","-48.35","-44.58","84.33","46.13","65.34","48.00","43.48"
"CAKE","The Cheesecake Factory, Inc.","US Stocks:Consumer Discretionary","40.07","28.29","25.18","27.49","27.59","3.43","30.13","11.98","35.64","29.85","34.32"
"CALM","Cal-Maine Foods, Inc.","US Stocks:Consumer Staples","-26.32","-27.08","-14.22","-11.46","19.07","19.90","36.43","23.89","27.61","28.81","28.50"
"CALX","Calix","US Stocks:Technology","-61.64","-53.33","4.07","6.08","-5.00","-0.86","59.20","50.03","41.60","44.26","54.51"
"CALY","Callaway Golf Company","US Stocks:Consumer Discretionary","10.39","128.91","123.27","129.96","-12.58","-12.25","37.72","14.35","47.73","49.96","44.64"
"CARG","CarGurus","US Stocks:Communication Services","44.95","5.15","29.39","29.69","29.59","7.71","25.72","11.20","27.50","35.96","47.32"
"CASH","Pathward Financial, Inc.","US Stocks:Financials","3.59","52.06","8.86","13.09","28.28","14.31","44.72","39.06","30.52","28.10","30.89"
"CATY","Cathay General Bancorp","US Stocks:Financials","48.78","41.27","34.28","35.98","22.99","10.16","22.59","9.50","17.68","27.41","27.56"
"CBRL","Cracker Barrel","US Stocks:Consumer Discretionary","27.99","-21.44","-26.31","-27.18","-30.77","-25.94","46.55","23.42","59.92","51.49","46.84"
"CBU","Community Bank System, Inc.","US Stocks:Financials","11.35","21.44","15.46","18.10","13.49","-0.92","18.19","8.45","19.87","32.20","28.08"
"CC","Chemours","US Stocks:Materials","842.44","262.79","119.11","113.27","0.65","1.62","47.42","19.67","54.55","60.24","55.74"
"CCOI","Cogent Communications Holdings, Inc.","US Stocks:Communication Services","1.56","-71.63","-53.93","-52.37","-25.94","-14.51","46.28","18.93","68.30","49.77","42.13"
"CCS","Century Communities, Inc.","US Stocks:Consumer Discretionary","-42.48","-21.72","4.50","8.32","-4.51","-0.96","49.10","32.09","30.92","40.63","39.67"
"CE","Celanese","US Stocks:Materials","296.66","121.20","48.91","48.95","-13.73","-14.42","55.15","35.25","42.01","46.92","42.09"
"CENT","Central Garden & Pet Company","US Stocks:Consumer Staples","85.89","34.82","8.48","9.75","8.32","-3.40","24.12","13.05","28.88","29.84","28.23"
"CENTA","Central Garden & Pet Company (Class A)","US Stocks:Consumer Staples","82.51","33.71","11.22","12.12","5.49","-3.71","20.36","10.13","28.68","28.47","27.01"
"CENX","Century Aluminum Company","US Stocks:Materials","109.91","269.09","252.33","253.25","88.26","31.38","51.93","31.71","39.06","57.70","68.57"
"CERT","Certara, Inc.","US Stocks:Healthcare","-84.48","-77.76","-57.03","-56.67","-37.64","-27.63","48.40","26.86","40.75","52.92","57.34"
"CFFN","Capitol Federal Savings Bank","US Stocks:Financials","33.73","48.96","40.16","46.80","11.10","-3.62","24.51","16.04","16.61","28.69","26.68"
"CHCO","City Holding Company","US Stocks:Financials","6.24","5.05","6.86","10.81","13.62","12.60","20.43","13.02","10.46","19.37","18.52"
"CHEF","Chefs' Warehouse, Inc.","US Stocks:Consumer Staples","100.96","68.43","42.61","20.96","31.36","17.13","71.67","17.41","37.98","45.86","42.35"
"CLB","Core Laboratories","US Stocks:Energy","-28.44","5.54","53.55","41.82","-7.48","-8.30","40.57","23.48","38.65","41.22","51.97"
"CLSK","CleanSpark, Inc.","US Stocks:Technology","-48.93","-68.32","32.67","30.85","44.86","-9.20","60.26","25.05","85.15","109.52","110.56"
"CNK","Cinemark Holdings, Inc.","US Stocks:Communication Services","134.38","16.59","-2.14","0.21","21.38","6.75","30.35","17.00","33.42","37.10","48.20"
"CNMD","CONMED Corporation","US Stocks:Healthcare","-25.38","-42.35","-28.74","-26.91","-31.98","-22.36","42.69","20.64","39.04","34.57","33.07"
"CNR","Core Natural Resources, Inc.","US Stocks:Energy","-9.16","25.70","23.30","21.21","17.19","61.60","47.86","32.16","38.06","42.65","56.52"
"CNS","Cohen & Steers, Inc.","US Stocks:Financials","30.84","-6.84","-7.93","-6.24","6.53","3.76","24.48","11.54","17.74","30.48","30.61"
"CNXN","PC Connection, Inc.","US Stocks:Technology","45.60","5.47","3.34","3.73","16.57","8.71","20.38","7.43","15.29","24.27","25.81"
"COCO","The Vita Coco Company","US Stocks:Consumer Staples","133.33","166.91","122.28","67.52","48.80","48.80","108.55","20.24","51.78","46.03","49.97"
"COHU","Cohu, Inc.","US Stocks:Technology","465.75","261.66","165.97","161.55","8.46","0.76","39.43","15.92","47.32","44.08","40.66"
"COLL","Collegium Pharmaceutical, Inc.","US Stocks:Healthcare","-67.81","-5.97","25.64","22.47","13.00","7.64","38.66","23.22","48.69","38.98","37.91"
"CON","Concentra Group Holdings Parent, Inc.","US Stocks:Healthcare","19.39","17.36","4.80","7.38","4.80","4.80","23.68","11.12","30.84","30.55","30.55"
"CORT","Corcept Therapeutics Incorporated","US Stocks:Healthcare","6.61","-58.77","-34.33","-34.99","27.46","14.30","35.32","18.55","68.00","82.96","68.53"
"CPF","Central Pacific Financial Corp.","US Stocks:Financials","37.13","39.34","37.37","39.58","34.77","10.22","18.91","8.86","21.94","27.95","28.00"
"CPK","Chesapeake Utilities Corp.","US Stocks:Utilities","-0.19","-7.48","-2.66","-1.44","1.41","2.73","19.05","10.66","21.27","21.51","21.61"
"CPRX","Catalyst Pharmaceuticals Partners, Inc.","US Stocks:Healthcare","85.96","74.55","19.59","25.54","19.60","43.77","41.19","16.68","25.36","34.15","43.74"
"CRC","California Resources Corporation","US Stocks:Energy","227.69","112.70","96.48","93.09","22.60","26.12","39.07","27.37","37.65","37.19","38.99"
"CRGY","Crescent Energy Company","US Stocks:Energy","386.74","173.25","64.39","57.44","10.03","10.03","53.47","37.63","32.93","41.47","43.67"
"CRI","Carter's, Inc.","US Stocks:Consumer Discretionary","52.83","26.08","14.53","14.64","-16.79","-14.93","41.74","18.53","31.60","33.38","30.02"
"CRK","Comstock Resources, Inc.","US Stocks:Energy","-63.07","-2.25","-6.23","-5.98","17.22","30.55","51.11","36.03","76.02","58.44","70.08"
"CRSR","Corsair Gaming","US Stocks:Technology","207.54","-34.70","-8.15","-10.08","-27.22","-27.05","28.34","8.19","44.59","50.05","49.31"
"CRVL","CorVel Corporation","US Stocks:Healthcare","-43.56","-39.01","-47.02","-47.44","-4.91","8.15","26.85","14.43","31.68","32.70","33.39"
"CSR","Centerspace Trust","US Stocks:Real Estate","28.80","31.03","17.42","20.85","12.29","3.39","25.71","9.04","26.90","26.54","28.25"
"CSW","CSW Industrials, Inc.","US Stocks:Industrials","-16.83","36.99","-7.85","-6.18","27.64","15.66","46.38","29.08","28.40","30.87","29.86"
"CTKB","Cytek Biosciences, Inc.","US Stocks:Healthcare","-43.45","14.46","15.03","21.22","-24.09","-24.09","39.52","30.23","62.99","70.89","64.29"
"CTS","CTS Corporation","US Stocks:Technology","36.04","65.05","37.26","35.83","7.67","12.44","28.96","12.99","28.42","28.29","32.34"
"CUBI","Customers Bancorp, Inc.","US Stocks:Financials","-3.56","21.10","53.95","57.91","58.37","19.87","30.79","15.55","28.08","49.22","50.42"
"CURB","Curbline Properties Corp.","US Stocks:Real Estate","94.03","28.30","22.63","27.15","22.63","22.63","27.58","15.79","18.25","18.29","18.29"
"CVBF","CVB Financial Corp.","US Stocks:Financials","24.52","18.76","13.85","15.63","14.70","3.06","20.80","9.60","16.71","37.80","35.33"
"CVCO","Cavco Industries, Inc.","US Stocks:Consumer Discretionary","-57.22","-28.30","1.84","9.65","17.19","18.37","51.31","26.74","48.40","42.40","41.22"
"CVI","CVR Energy, Inc.","US Stocks:Energy","480.29","-27.23","82.42","77.35","13.96","23.03","62.20","45.54","57.35","49.34","54.29"
"CVSA","Covista Inc.","US Stocks:Consumer Discretionary","-4.41","-44.49","7.67","7.35","41.38","24.19","37.18","24.53","55.11","45.04","45.14"
"CWEN","Clearway Energy, Inc. (Class C)","US Stocks:Utilities","19.76","49.87","36.86","47.39","13.35","11.55","36.01","23.69","25.04","29.63","29.58"
"CWEN-A","Clearway Energy, Inc. (Class A)","US Stocks:Utilities","55.43","71.88","47.42","58.38","15.47","13.62","35.06","22.79","24.18","29.54","29.61"
"CWK","Cushman & Wakefield plc","US Stocks:Real Estate","-49.28","-32.58","54.83","64.77","14.19","-3.57","38.05","17.90","39.92","44.32","42.79"
"CWST","Casella Waste Systems, Inc.","US Stocks:Industrials","-68.65","-22.71","-32.77","-32.74","-3.99","3.06","43.32","22.07","20.80","22.61","24.15"
"CWT","California Water Service Group","US Stocks:Utilities","20.74","-13.98","-5.94","-3.99","-5.64","-3.87","28.78","17.23","10.91","16.95","21.82"
"CXM","Sprinklr, Inc.","US Stocks:Technology","-66.72","-59.49","-35.03","-33.81","-26.54","-26.54","43.17","31.07","30.70","30.61","39.26"
"CXW","CoreCivic","US Stocks:Industrials","52.94","22.47","-7.48","-7.55","30.51","19.38","31.37","10.88","17.88","42.54","44.52"
"CZR","Caesars Entertainment","US Stocks:Consumer Discretionary","174.06","47.43","-2.42","-3.97","-14.52","-21.88","20.07","10.96","39.81","40.16","47.59"
"DAN","Dana Incorporated","US Stocks:Consumer Discretionary","131.17","232.98","183.41","194.09","38.87","8.72","39.86","21.60","36.61","53.21","52.07"
"DAVE","Dave, Inc.","US Stocks:Financials","368.27","0.96","174.63","199.73","259.01","259.01","68.32","31.00","125.11","134.43","129.28"
"DBD","Diebold Nixdorf","US Stocks:Technology","103.60","99.74","88.55","87.99","88.55","88.55","33.20","17.55","23.62","36.14","36.14"
"DCH","Dauch Corporation","US Stocks:Consumer Discretionary","-76.46","-22.23","48.94","53.62","-8.33","-9.19","50.00","27.95","46.75","44.53","50.07"
"DCOM","Dime Community Bancshares, Inc.","US Stocks:Financials","34.71","74.53","43.35","45.81","25.09","6.22","34.55","21.06","23.32","42.14","38.46"
"DEA","Easterly Government Properties, Inc.","US Stocks:Real Estate","20.77","24.97","20.35","26.08","-5.03","-9.15","21.30","9.91","18.91","26.42","25.80"
"DEI","Douglas Emmett","US Stocks:Real Estate","26.81","-29.65","-19.40","-16.88","0.32","-15.89","30.70","15.40","27.36","31.49","29.99"
"DFH","Dream Finders Homes, Inc.","US Stocks:Consumer Discretionary","-65.25","-62.77","-38.48","-34.92","-3.45","-9.49","60.08","30.76","42.92","58.65","59.48"
"DFIN","Donnelley Financial Solutions, Inc.","US Stocks:Financials","-6.31","-2.76","13.10","13.54","4.68","12.07","29.81","17.93","32.94","30.17","34.19"
"DGII","Digi International Inc.","US Stocks:Technology","119.47","103.60","97.22","98.05","19.42","25.38","25.50","11.58","25.20","38.01","36.13"
"DIOD","Diodes Incorporated","US Stocks:Technology","704.01","218.09","161.05","150.90","6.68","4.82","49.40","18.26","53.46","45.93","45.47"
"DLX","Deluxe Corporation","US Stocks:Industrials","163.09","167.81","107.71","108.39","33.22","-2.01","24.03","7.38","30.01","38.11","37.94"
"DNOW","NOW Inc","US Stocks:Industrials","-39.93","-20.48","-19.38","-19.73","6.13","6.66","21.13","11.86","31.84","43.23","41.62"
"DORM","Dorman Products, Inc.","US Stocks:Consumer Discretionary","-34.73","-48.75","-1.11","-3.07","8.43","0.18","33.21","16.96","42.85","36.90","33.60"
"DRH","DiamondRock Hospitality Company","US Stocks:Real Estate","71.77","79.81","45.99","48.56","11.82","3.59","23.31","9.87","22.94","20.59","27.31"
"DV","DoubleVerify Holdings, Inc.","US Stocks:Communication Services","-0.36","-14.31","-17.96","-17.85","-28.71","-21.07","35.03","16.05","36.65","49.65","46.54"
"DXC","DXC Technology","US Stocks:Technology","-56.63","-23.97","-25.18","-24.64","-21.45","-17.85","50.27","34.87","23.29","33.09","34.58"
"DXPE","DXP Enterprises, Inc.","US Stocks:Industrials","173.04","80.04","89.99","99.84","87.32","42.11","31.23","13.52","45.34","54.99","50.95"
"EAT","Brinker International, Inc.","US Stocks:Consumer Discretionary","-20.73","37.18","-8.01","-19.11","55.46","16.65","68.56","30.13","58.55","53.56","53.85"
"ECG","Everus Construction Group, Inc.","US Stocks:Industrials","318.50","113.92","228.73","234.47","228.73","228.73","47.56","21.43","49.90","60.58","60.58"
"ECPG","Encore Capital Group, Inc.","US Stocks:Financials","433.45","240.50","137.13","144.53","16.25","16.44","23.77","10.15","32.50","39.93","38.57"
"EFC","Ellington Financial, Inc.","US Stocks:Financials","7.30","9.69","13.30","15.74","15.27","6.56","14.84","5.57","17.06","18.54","22.91"
"EFOR","Everforth Inc.","US Stocks:Technology","-95.33","-75.36","-55.11","-56.94","-33.39","-26.02","190.88","177.55","46.59","37.23","33.47"
"EGBN","Eagle Bancorp Inc","US Stocks:Financials","-0.47","111.92","47.23","52.13","4.36","-9.49","26.42","16.27","44.95","49.05","42.36"
"EIG","Employers Holdings, Inc.","US Stocks:Financials","-4.95","10.87","-9.46","-7.98","2.96","5.04","19.75","9.02","21.06","19.05","21.69"
"EMBC","Embecta Corp.","US Stocks:Healthcare","-43.67","-59.52","-25.59","-20.00","-30.00","-30.00","33.28","21.00","50.52","55.94","53.09"
"EMN","Eastman Chemical Company","US Stocks:Materials","13.61","28.14","-2.42","-0.91","-1.18","-5.30","18.01","11.90","20.13","25.30","27.46"
"ENOV","Enovis","US Stocks:Healthcare","20.63","-53.16","-35.11","-33.33","-27.17","-21.70","57.32","38.99","35.34","35.15","33.23"
"ENPH","Enphase Energy","US Stocks:Technology","-64.72","-28.20","-32.88","-26.76","-48.22","-27.97","58.22","44.02","43.16","54.41","62.16"
"ENR","Energizer","US Stocks:Consumer Staples","-36.85","-37.25","-27.50","-23.00","-13.62","-14.93","42.35","24.07","49.71","33.70","30.83"
