Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
RAL,Ralliant Corp,Information Technology,Electronic Equipment & Instruments,"New York City, New York",view,2041385
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,"Hayward, California",view,1724521
RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance,"Philadelphia, Pennsylvania",view,890926
RDNT,"RadNet, Inc.",Health Care,Health Care Services,"Los Angeles, California",view,790526
RELY,Remitly,Financials,Transaction & Payment Processing Services,"Seattle, Washington",view,1782170
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,"Atlanta, Georgia",view,742278
REYN,Reynolds Consumer Products,Consumer Staples,Household Products,"Lake Forest, Illinois",view,1786431
REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing,"Dayton, Ohio",view,744187
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,"Scottsdale, Arizona",view,1740332
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",view,315213
