# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"KHC","Kraft Heinz","US Stocks","-6.62","-18.10","-17.21","-18.94","-12.56","-7.02","25.28","11.31","16.41","18.18","19.63"
"LRCX","Lam Research","US Stocks","16.77","152.78","250.11","254.34","70.74","33.68","51.43","18.57","46.81","41.62","41.94"
"LIN","Linde plc","US Stocks","58.26","30.56","14.18","15.34","12.55","13.35","17.24","8.49","19.03","17.21","19.57"
"LITE","Lumentum","US Stocks","2370.32","1861.51","1328.63","1218.95","162.23","56.20","87.59","39.99","73.87","68.75","61.39"
"MAR","Marriott International","US Stocks","66.77","71.79","50.80","53.14","27.89","20.19","30.69","11.44","21.46","21.98","26.18"
"MRVL","Marvell Technology","US Stocks","1131.58","212.27","167.45","160.77","59.79","28.76","49.32","16.41","72.24","61.41","57.58"
"MELI","Mercado Libre","US Stocks","-63.19","-40.06","-19.99","-19.49","11.53","2.48","26.01","15.08","26.42","35.88","43.45"
"META","Meta Platforms","US Stocks","0.58","-20.31","22.10","23.05","46.89","17.86","32.54","11.80","35.13","32.58","41.47"
"MCHP","Microchip Technology","US Stocks","62.94","101.02","97.55","85.07","7.93","5.74","46.57","14.39","56.88","44.12","42.10"
"MU","Micron Technology","US Stocks","101.61","455.78","561.53","533.61","106.65","44.39","60.63","15.19","75.31","60.30","54.49"
"MSFT","Microsoft","US Stocks","-39.12","-35.70","9.34","10.38","15.53","11.46","29.12","14.13","29.67","22.53","24.03"
"MSTR","MicroStrategy","US Stocks","-0.65","-71.37","-57.16","-55.06","76.99","21.47","70.13","24.49","50.31","103.77","105.71"
"MDLZ","Mondelez International","US Stocks","29.37","1.55","-3.11","-7.78","-2.59","3.13","26.44","12.61","17.63","16.99","18.43"
"MPWR","Monolithic Power Systems","US Stocks","200.71","92.32","162.89","159.63","48.93","33.59","49.93","19.88","44.90","42.34","43.22"
"MNST","Monster Beverage","US Stocks","-18.48","21.77","31.46","31.57","12.71","9.54","24.29","12.33","24.44","22.31","22.12"
"NFLX","Netflix, Inc.","US Stocks","40.32","-29.17","-17.04","-16.23","40.94","12.61","41.95","34.30","30.61","33.41","43.57"
"NVDA","Nvidia","US Stocks","42.53","19.44","92.49","92.07","97.85","69.83","27.79","9.54","36.73","42.01","50.89"
"NXPI","NXP Semiconductors","US Stocks","115.29","73.75","50.21","21.30","21.64","10.02","92.13","13.50","51.85","39.54","39.16"
"ORLY","O'Reilly Automotive","US Stocks","-33.07","-8.38","0.38","1.97","14.89","21.03","14.80","7.47","23.38","19.99","20.94"
"ODFL","Old Dominion Freight Line","US Stocks","117.04","136.02","41.49","52.19","6.31","11.34","36.17","21.29","27.71","32.55","32.08"
"PCAR","Paccar","US Stocks","-14.17","41.78","31.65","33.51","21.40","18.26","33.10","21.60","16.64","25.85","24.82"
"PLTR","Palantir Technologies","US Stocks","-40.89","-46.81","20.34","25.18","157.30","43.27","53.42","38.66","37.89","78.96","73.04"
"PANW","Palo Alto Networks","US Stocks","-4.70","-32.09","0.00","1.12","23.67","25.29","46.17","29.05","34.41","33.02","32.68"
"PAYX","Paychex","US Stocks","-28.98","-41.09","-32.46","-34.22","-2.31","2.03","29.12","14.84","17.60","18.64","21.82"
"PYPL","PayPal","US Stocks","-20.32","-46.86","-21.13","-23.62","-11.66","-27.87","29.75","12.68","25.95","32.03","37.50"
"PDD","PDD Holdings","US Stocks","-18.55","-49.73","-5.26","-6.46","13.53","-6.03","29.48","20.28","26.44","50.45","58.56"
"PEP","PepsiCo","US Stocks","23.91","7.45","20.75","21.87","-2.52","4.42","17.83","8.61","18.09","15.01","15.38"
"QCOM","Qualcomm","US Stocks","11.75","-29.30","8.15","3.34","12.49","5.53","43.25","8.76","33.06","31.27","34.92"
"REGN","Regeneron Pharmaceuticals","US Stocks","-29.95","38.19","12.97","22.09","-4.65","7.10","28.58","22.72","35.06","30.49","28.96"
"ROP","Roper Technologies","US Stocks","-3.82","-40.53","-35.01","-36.01","-6.77","-3.17","21.50","12.28","18.02","18.50","20.88"
"ROST","Ross Stores","US Stocks","116.08","97.83","63.11","63.03","29.72","13.23","20.87","9.87","16.51","21.05","26.47"
"SNDK","Sandisk","US Stocks","1554.97","3535.92","3197.83","2951.29","3197.83","3197.83","85.71","31.24","160.80","165.08","165.08"
"STX","Seagate Technology","US Stocks","348.07","686.96","693.08","609.18","130.34","54.98","52.46","13.45","72.47","55.32","51.47"
"SHOP","Shopify","US Stocks","-41.95","-52.02","23.02","25.67","36.18","2.03","51.59","29.40","35.07","53.55","58.57"
"SBUX","Starbucks","US Stocks","55.01","50.35","29.21","19.27","1.30","0.41","35.25","6.18","25.94","30.76","29.70"
"SNPS","Synopsys","US Stocks","-21.57","6.91","8.39","8.34","8.60","14.16","50.39","19.66","43.38","34.29","34.05"
"TMUS","T-Mobile US","US Stocks","30.65","-17.77","-14.87","-18.41","12.22","9.37","37.81","18.54","18.99","20.52","21.36"
"TTWO","Take-Two Interactive","US Stocks","-38.51","-28.28","-4.53","-5.49","19.00","3.84","27.45","15.03","25.23","26.90","28.47"
"TSLA","Tesla, Inc.","US Stocks","-44.26","-32.10","30.40","31.96","31.88","9.22","43.07","22.31","42.88","52.59","59.03"
"TXN","Texas Instruments","US Stocks","146.92","160.44","70.97","67.85","18.77","10.81","70.73","12.31","52.25","35.96","32.30"
"TRI","Thomson Reuters","US Stocks","-58.73","-66.20","-47.90","-49.59","-9.74","1.90","40.12","19.62","24.82","24.53","23.41"
"VRSK","Verisk Analytics","US Stocks","-44.95","-34.54","-34.24","-37.76","-0.67","0.76","38.90","20.34","18.08","20.54","24.23"
"VRTX","Vertex Pharmaceuticals","US Stocks","-38.49","1.47","-14.75","-12.90","8.34","14.40","19.31","11.12","25.43","24.90","24.93"
"WMT","Walmart","US Stocks","46.62","51.37","35.63","35.37","37.55","24.04","25.41","15.09","13.40","17.60","19.27"
"WBD","Warner Bros. Discovery","US Stocks","-12.65","65.29","210.92","213.74","26.51","-6.67","8.88","6.30","67.45","55.36","57.08"
"WDC","Western Digital","US Stocks","375.17","964.54","913.30","862.92","155.45","52.61","49.46","9.27","62.13","55.02","55.83"
"WDAY","Workday, Inc.","US Stocks","-82.44","-73.74","-48.95","-49.41","-13.49","-13.51","60.80","39.53","27.62","32.78","33.38"
"XEL","Xcel Energy","US Stocks","19.08","-1.66","16.86","18.83","7.14","5.37","20.24","10.56","20.12","19.17","18.71"
"ZS","Zscaler","US Stocks","-84.27","-82.95","-38.72","-36.88","10.21","-6.65","61.50","45.10","48.67","50.54","48.19"
